lead_id,industry,company_size,annual_revenue,country,lead_stage,previous_interactions
175,Retail,414,4045743,Germany,Qualified,7
176,Finance,105,4086017,Singapore,Contacted,3
177,Healthcare,716,2534968,Singapore,Contacted,4
178,SaaS,579,2217494,Singapore,Qualified,0
179,Manufacturing,984,940248,India,New,5
180,SaaS,401,3321140,Singapore,Contacted,12
181,SaaS,361,3828330,USA,Proposal,12
182,Healthcare,815,4163978,India,Qualified,11
183,SaaS,675,462632,India,Proposal,0
184,Finance,585,3138986,Germany,Proposal,2
185,Finance,679,834948,UK,Contacted,9
186,Retail,786,3868128,UK,New,12
187,Manufacturing,642,196537,Germany,Qualified,2
188,SaaS,297,4479849,UK,New,13
189,SaaS,532,651442,Singapore,New,6
190,Healthcare,735,2144471,USA,New,10
191,Finance,171,587268,Singapore,New,9
192,Manufacturing,626,4309777,UK,Contacted,1
193,Retail,923,1986184,UK,Qualified,10
194,Finance,668,392429,USA,Qualified,14
195,Retail,191,797862,India,New,8
196,Healthcare,859,900651,India,Qualified,3
197,Healthcare,558,1323654,USA,Qualified,10
198,SaaS,91,4088330,India,New,5
199,Manufacturing,533,3154621,UK,Contacted,5
200,Retail,13,3834163,India,Contacted,1
201,Finance,504,203833,UK,Contacted,11
202,Healthcare,564,2761424,Germany,Qualified,9
203,SaaS,932,1193956,Singapore,Contacted,14
204,SaaS,60,2442661,India,New,10
205,Retail,270,4773313,Germany,Contacted,3
206,Healthcare,143,698137,India,Contacted,1
207,Manufacturing,982,2546594,Germany,Proposal,9
208,Healthcare,608,1167084,USA,Contacted,13
209,Retail,371,654018,Germany,Qualified,0
210,Retail,577,4896851,UK,New,14
211,Healthcare,226,967441,USA,Contacted,9
212,Retail,887,4906707,USA,Contacted,6
213,Healthcare,77,4513555,UK,Qualified,4
214,Finance,873,2420430,India,Qualified,10
215,Healthcare,565,3657813,USA,New,4
216,Healthcare,152,1976068,India,New,2
217,Retail,355,3627958,Singapore,New,0
218,Retail,563,3267190,Germany,Contacted,2
219,SaaS,660,2564802,Germany,Contacted,8
220,SaaS,594,2085512,UK,Qualified,13
221,Finance,788,1531910,UK,Proposal,13
222,SaaS,203,2472470,Germany,Qualified,3
223,Healthcare,676,3066303,Singapore,New,14
224,Retail,255,522913,UK,Proposal,4
225,SaaS,323,4562059,Singapore,New,5
226,SaaS,739,584623,UK,Contacted,14
227,Finance,977,2697298,USA,New,12
228,Finance,393,2088034,India,New,8
229,Healthcare,774,1671419,Germany,New,12
230,Retail,798,2011011,India,New,4
231,Finance,286,1038528,Germany,New,6
232,SaaS,81,4509591,UK,New,8
233,Retail,138,318164,India,Qualified,0
234,Retail,367,462809,Singapore,Contacted,1
235,SaaS,707,975893,UK,New,4
236,Finance,534,625011,USA,Contacted,4
237,SaaS,850,4394155,India,Contacted,11
238,Retail,229,3304051,India,New,12
239,Manufacturing,15,2327075,USA,Proposal,8
240,Manufacturing,760,4176637,Germany,Qualified,10
241,Healthcare,992,620910,UK,New,14
242,SaaS,633,3041477,USA,Contacted,6
243,SaaS,237,4733947,Singapore,Contacted,9
244,Healthcare,963,3797354,UK,New,8
245,Healthcare,26,3315117,USA,Qualified,10
246,Healthcare,594,3119338,USA,Contacted,6
247,Retail,21,4797215,India,Qualified,5
248,SaaS,607,3055080,India,New,5
249,Retail,508,2221879,India,Contacted,12
250,Healthcare,701,4187305,UK,Proposal,0
251,SaaS,643,580293,Germany,Qualified,12
252,Retail,725,2217034,UK,New,6
253,Retail,511,2256708,India,New,3
254,Healthcare,79,1987145,India,Contacted,11
255,SaaS,117,1193630,UK,Contacted,9
256,Healthcare,210,2092835,USA,Contacted,2
257,SaaS,61,136959,USA,New,0
258,Manufacturing,558,3583126,India,New,6
259,Finance,638,320148,India,Qualified,9
260,Finance,268,1237013,Germany,Contacted,14
261,Finance,491,1242634,USA,Contacted,12
262,Healthcare,273,3152559,Germany,New,8
263,Manufacturing,915,4484422,India,New,0
264,SaaS,312,898104,India,Qualified,12
265,Retail,946,4967767,Germany,Contacted,1
266,SaaS,585,4813716,Germany,New,9
267,Retail,563,1103438,India,Qualified,3
268,SaaS,564,3127921,Singapore,New,8
269,Manufacturing,134,4000270,India,New,9
270,Retail,914,2570530,USA,Contacted,7
271,Healthcare,279,3209664,India,New,0
272,SaaS,868,2439270,UK,New,11
273,SaaS,754,3828235,India,Contacted,10
274,Retail,489,4890842,Singapore,Qualified,10
275,Healthcare,141,3078887,USA,Contacted,14
276,Healthcare,11,4965684,India,New,3
277,Manufacturing,124,4006358,Germany,New,13
278,Healthcare,490,2885363,USA,New,8
279,Healthcare,990,1934233,USA,Contacted,14
280,Healthcare,10,639719,Singapore,Contacted,1
281,Finance,340,1626380,Germany,New,1
282,Manufacturing,586,4730699,UK,Contacted,5
283,SaaS,951,478652,India,Proposal,5
284,Retail,964,558407,UK,Contacted,12
285,SaaS,980,612318,Germany,Qualified,5
286,Manufacturing,646,2908913,USA,Contacted,9
287,Retail,777,797418,Singapore,Qualified,0
288,Manufacturing,400,4497484,Singapore,Qualified,8
289,Healthcare,843,3826795,USA,Qualified,14
290,Retail,152,1315833,Singapore,Contacted,11
291,Healthcare,337,571426,UK,Proposal,12
292,SaaS,767,601669,USA,Proposal,1
293,SaaS,637,3821058,India,New,6
294,Retail,386,4498792,India,Contacted,0
295,Retail,824,793779,Germany,Contacted,0
296,Manufacturing,99,886012,USA,New,10
297,Manufacturing,817,4006692,UK,New,8
298,Healthcare,51,2130886,USA,New,6
299,Retail,956,4974535,USA,New,13
300,SaaS,44,4608294,UK,Qualified,4
301,Manufacturing,503,4736511,Singapore,Qualified,9
302,Manufacturing,562,4079296,UK,Qualified,2
303,SaaS,862,4326852,USA,Proposal,7
304,Manufacturing,133,1939658,USA,Contacted,0
305,Healthcare,66,4875870,USA,Qualified,7
306,Retail,815,1324483,USA,Contacted,12
307,SaaS,465,4834817,Germany,Contacted,3
308,Retail,244,3291088,Singapore,New,1
309,Manufacturing,617,3996427,USA,Contacted,6
310,Manufacturing,401,1595135,Germany,New,3
311,SaaS,501,4852149,USA,New,12
312,Healthcare,979,300802,Singapore,New,3
313,Finance,840,1882030,Singapore,Qualified,5
314,SaaS,352,585126,UK,Contacted,1
315,Finance,653,1472044,Germany,Qualified,4
316,Finance,185,3004425,Singapore,Qualified,8
317,Healthcare,61,2472771,India,Contacted,11
318,Finance,559,630959,USA,Contacted,2
319,Finance,487,2388808,Singapore,Qualified,3
320,Healthcare,498,2753204,Germany,Contacted,12
321,Finance,864,2072041,Germany,Qualified,2
322,Finance,14,3563762,Germany,New,14
323,Finance,734,489952,UK,Contacted,14
324,SaaS,641,367299,USA,New,6
325,SaaS,847,2449545,India,Contacted,12
326,SaaS,890,3636147,Germany,Contacted,12
327,Healthcare,218,1209427,USA,Contacted,2
328,Manufacturing,226,4690231,Germany,Contacted,6
329,Finance,545,1292179,Germany,New,4
330,Finance,351,3125136,India,New,2
331,Healthcare,726,2126029,USA,Qualified,0
332,Finance,410,1142714,Germany,New,4
333,SaaS,471,1152355,UK,Proposal,8
334,Manufacturing,747,734966,Germany,Contacted,9
335,Retail,739,1010192,USA,Contacted,3
336,Finance,220,3181364,Singapore,Contacted,8
337,SaaS,35,3253045,Germany,Contacted,11
338,Retail,261,3957984,UK,New,10
339,Manufacturing,12,2322525,UK,New,9
340,Retail,11,1168038,Germany,New,2
341,SaaS,613,1363797,USA,New,7
342,Retail,11,1561189,Germany,New,4
343,Healthcare,159,1436845,UK,Contacted,5
344,Retail,592,4536445,Germany,Contacted,3
345,Finance,13,3961817,UK,Qualified,5
346,Finance,506,2997933,Singapore,New,2
347,Healthcare,559,2257867,Germany,Qualified,6
348,SaaS,880,2362952,India,New,3
349,Finance,477,4826494,Germany,Qualified,4
350,Manufacturing,79,2037156,UK,Proposal,5
351,Finance,210,4135161,USA,Contacted,4
352,Finance,317,2952235,UK,Qualified,13
353,SaaS,261,1152493,Singapore,Proposal,11
354,Retail,296,4159490,USA,New,1
355,Finance,931,3728434,India,New,11
356,Healthcare,301,695022,India,Contacted,11
357,Retail,163,4174503,Singapore,New,10
358,Manufacturing,933,2349750,Singapore,Contacted,3
359,SaaS,142,218540,Singapore,Contacted,7
360,Manufacturing,892,747581,Singapore,Contacted,7
361,Retail,595,4712777,Germany,New,6
362,Retail,283,3959073,UK,New,9
363,Retail,792,2643498,Germany,Proposal,1
364,Manufacturing,706,3844412,USA,Contacted,13
365,Retail,518,519861,India,New,3
366,Manufacturing,362,1280616,India,Qualified,8
367,Retail,14,3138885,USA,Proposal,5
368,Healthcare,302,1245161,India,Contacted,14
369,Retail,369,522933,Singapore,New,13
370,Manufacturing,607,4774823,Singapore,Contacted,11
371,Finance,223,3711950,Singapore,Proposal,10
372,Retail,415,3113509,USA,Proposal,7
373,Finance,445,3177894,UK,Qualified,8
374,Healthcare,24,1656731,USA,New,4
375,SaaS,282,4233068,UK,New,4
376,Healthcare,572,146935,India,New,8
377,Retail,774,1065933,India,Qualified,5
378,Finance,54,2929119,India,New,6
379,Finance,712,4953662,UK,Contacted,7
380,Manufacturing,643,2238902,India,Contacted,11
381,Finance,421,2013296,USA,New,7
382,Manufacturing,196,4122058,UK,New,14
383,SaaS,735,2521129,Singapore,New,12
384,Retail,670,1129726,UK,Contacted,2
385,Manufacturing,179,3260044,USA,Qualified,4
386,SaaS,730,1110684,USA,Contacted,10
387,Finance,974,2592945,USA,Proposal,0
388,Finance,603,854899,India,Contacted,2
389,SaaS,410,346818,Singapore,New,1
390,Finance,717,2386738,Singapore,Contacted,9
391,SaaS,255,4506553,Germany,Qualified,1
392,Manufacturing,912,3175618,USA,New,1
393,Manufacturing,866,3183851,India,Qualified,0
394,SaaS,878,4371687,UK,Qualified,14
395,Manufacturing,561,1498008,India,Proposal,10
396,Manufacturing,689,1492696,USA,Contacted,5
397,Manufacturing,52,2609321,India,New,3
398,Healthcare,850,3964276,USA,Contacted,9
399,Retail,732,4014988,UK,Proposal,1
400,Finance,188,1499017,UK,Proposal,14
401,Healthcare,466,3067452,Singapore,New,4
402,Manufacturing,544,1492862,Germany,New,1
403,SaaS,616,3078118,India,Contacted,7
404,Manufacturing,681,4332289,Germany,New,3
405,Retail,253,404861,India,Qualified,11
406,Manufacturing,936,502243,Singapore,New,13
407,SaaS,26,2592904,Singapore,New,14
408,Retail,121,888957,UK,New,4
409,Manufacturing,624,838637,UK,New,7
410,Retail,835,1218999,UK,New,5
411,Finance,607,2286794,India,Contacted,0
412,Finance,556,3235326,Germany,Contacted,5
413,Manufacturing,39,3370054,Germany,New,14
414,Retail,201,1428475,UK,New,0
415,SaaS,446,381752,Singapore,New,10
416,Manufacturing,188,1987521,Germany,Qualified,5
417,Finance,625,1510166,Singapore,New,6
418,Finance,686,1599700,UK,New,5
419,Manufacturing,483,4044886,India,Contacted,3
420,Retail,643,2804948,USA,Qualified,3
421,Finance,143,1325332,Germany,New,13
422,Retail,811,3746910,UK,New,1
423,Finance,321,2406442,UK,Contacted,1
424,Finance,745,4102038,Germany,Qualified,6
425,Healthcare,34,2069442,USA,Contacted,9
426,Finance,380,2624772,India,Contacted,7
427,SaaS,534,1130742,Germany,New,5
428,Manufacturing,328,4174336,India,New,5
429,Manufacturing,239,4546291,UK,Proposal,6
430,Retail,111,1655204,Germany,New,2
431,Finance,459,3879109,India,Contacted,11
432,SaaS,387,3079340,Singapore,Proposal,9
433,Retail,897,2261886,Singapore,Contacted,13
434,Healthcare,910,4698224,Singapore,Contacted,1
435,Retail,212,4407030,India,New,3
436,Retail,276,2615202,Singapore,Proposal,1
437,Finance,993,4342612,UK,New,6
438,Healthcare,471,315350,India,Contacted,12
439,Retail,374,1245004,UK,New,12
440,SaaS,743,3470323,USA,New,14
441,SaaS,113,4463759,India,Qualified,8
442,Manufacturing,120,2247572,Singapore,Contacted,6
443,Healthcare,437,2583115,Singapore,New,11
444,Healthcare,478,3346408,USA,Proposal,4
445,Manufacturing,590,3765775,Germany,Qualified,11
446,Retail,879,4379859,USA,Proposal,2
447,Healthcare,779,1165521,Singapore,Qualified,11
448,SaaS,689,635929,Singapore,Qualified,0
449,SaaS,814,3945414,Germany,Contacted,0
450,Finance,895,1880787,USA,Contacted,2
451,Healthcare,570,4207083,UK,New,3
452,Retail,259,2715015,USA,Contacted,13
453,Manufacturing,491,4809947,UK,New,11
454,Manufacturing,340,3407509,Singapore,Qualified,4
455,Retail,941,856168,Singapore,Proposal,12
456,Finance,596,1466893,USA,Contacted,8
457,Manufacturing,210,1074532,Singapore,Qualified,11
458,Healthcare,463,1108403,Germany,New,1
459,Finance,513,368966,India,Qualified,12
460,Healthcare,555,1799765,UK,Proposal,3
461,SaaS,835,1488753,Singapore,Qualified,2
462,Finance,120,590553,UK,Contacted,7
463,Manufacturing,942,4046411,USA,Proposal,12
464,Finance,873,188106,Germany,Proposal,0
465,Finance,837,4599593,UK,Qualified,0
466,Finance,917,2282632,Singapore,Contacted,8
467,Finance,758,2792655,India,Qualified,0
468,Healthcare,553,4477213,Germany,New,3
469,SaaS,218,4053365,USA,New,7
470,Retail,653,4507184,Singapore,New,13
471,Finance,627,2526244,Germany,New,3
472,Manufacturing,42,2381578,Singapore,Contacted,4
473,Finance,564,4400481,USA,Contacted,1
474,Manufacturing,889,1095654,USA,Qualified,8
475,Healthcare,116,4514189,India,Contacted,9
476,Manufacturing,274,3582243,Germany,Qualified,8
477,Retail,235,784388,India,Contacted,12
478,SaaS,496,2710459,India,Contacted,2
479,Manufacturing,188,2275483,India,New,7
480,Manufacturing,231,2585981,UK,Proposal,8
481,SaaS,379,1261321,USA,Contacted,2
482,Retail,646,2868165,India,Contacted,13
483,Finance,797,3812361,UK,Qualified,0
484,Manufacturing,176,4858512,UK,Contacted,14
485,SaaS,672,4457990,UK,New,1
486,Healthcare,562,183521,India,New,13
487,SaaS,309,3562722,UK,Qualified,14
488,Healthcare,390,4487524,India,Qualified,7
489,Retail,44,2388885,Germany,New,0
490,Finance,416,3617027,USA,New,14
491,SaaS,511,1270609,Singapore,Contacted,6
492,Manufacturing,323,866582,India,Proposal,1
493,Retail,825,2649978,USA,New,2
494,SaaS,752,2242404,India,Contacted,3
495,Manufacturing,736,3864624,Germany,Qualified,13
496,SaaS,835,1291741,USA,Contacted,14
497,Healthcare,110,4630149,USA,New,2
498,SaaS,578,3096972,UK,Qualified,3
499,SaaS,224,4796744,India,Qualified,12
500,SaaS,944,4275863,India,Qualified,4
501,Retail,677,912457,Singapore,Proposal,12
502,SaaS,585,2668478,UK,New,5
503,Manufacturing,71,2026442,UK,New,4
504,Healthcare,860,387580,Singapore,Proposal,8
505,Healthcare,378,4251589,UK,Contacted,13
506,SaaS,377,825800,UK,Contacted,10
507,Retail,583,1832030,Germany,Qualified,9
508,Retail,103,301134,USA,Contacted,8
509,Manufacturing,478,400821,Singapore,Contacted,5
510,SaaS,993,2907013,Germany,New,5
511,Healthcare,862,4985599,Germany,Contacted,8
512,Retail,35,699934,Germany,Contacted,6
513,SaaS,444,2843734,UK,Qualified,12
514,Retail,130,610122,Singapore,Contacted,5
515,Retail,59,4525020,UK,New,8
516,Healthcare,892,1661119,UK,New,6
517,Finance,773,3312778,Germany,Contacted,7
518,Manufacturing,45,2290300,India,Qualified,9
519,Manufacturing,419,140492,Singapore,New,10
520,Healthcare,298,2070247,Singapore,New,12
521,Retail,388,4901534,Germany,Contacted,4
522,SaaS,109,4126899,Germany,Contacted,7
523,Retail,333,2437006,USA,Proposal,9
524,Healthcare,338,2642278,Germany,Qualified,0
525,Manufacturing,657,1026808,UK,New,6
526,Retail,715,1666230,Germany,Contacted,1
527,Manufacturing,230,4912583,Singapore,New,11
528,SaaS,800,4064057,India,Qualified,2
529,Manufacturing,847,3714909,India,New,7
530,Manufacturing,576,955193,UK,New,2
531,Finance,948,1220880,India,New,9
532,Finance,119,2657925,Germany,Contacted,6
533,Finance,158,545044,India,New,5
534,Manufacturing,415,1126936,Germany,New,13
535,Healthcare,786,3746223,USA,New,2
536,Manufacturing,683,3057982,Singapore,Qualified,2
537,Healthcare,708,3444920,UK,New,13
538,Healthcare,419,1153518,USA,New,8
539,Finance,138,592797,India,Contacted,4
540,Retail,493,1774211,UK,Qualified,6
541,SaaS,117,1680234,Germany,Contacted,12
542,Finance,398,1555464,USA,Contacted,12
543,Finance,434,4283780,Singapore,New,1
544,Retail,456,1856870,Singapore,Contacted,9
545,SaaS,927,4612657,USA,New,12
546,Manufacturing,77,3141591,USA,Proposal,6
547,Manufacturing,953,1981729,USA,Contacted,7
548,Finance,75,4379705,India,New,11
549,SaaS,665,3701174,Singapore,Contacted,3
550,Finance,985,3257279,Singapore,Contacted,0
551,Healthcare,574,1977392,India,New,9
552,Finance,649,678776,UK,New,12
553,Finance,513,279669,Singapore,New,3
554,Manufacturing,513,3954362,UK,New,4
555,Manufacturing,991,1811833,UK,Contacted,10
556,Manufacturing,330,2658373,UK,Qualified,11
557,Healthcare,728,324269,Singapore,Proposal,4
558,Manufacturing,841,3555476,Germany,Proposal,1
559,SaaS,737,329005,UK,Contacted,7
560,Retail,589,4665316,Germany,Contacted,1
561,SaaS,456,2315908,India,New,10
562,SaaS,583,1703262,Germany,Qualified,10
563,Manufacturing,219,2512828,Germany,Contacted,0
564,Retail,858,1623331,USA,New,4
565,Retail,848,594065,UK,Proposal,6
566,Retail,379,1145391,Singapore,Qualified,11
567,Healthcare,950,3937587,USA,Contacted,7
568,Manufacturing,573,1371952,Germany,New,11
569,Retail,637,2146899,India,New,14
570,Healthcare,902,2270373,Singapore,New,13
571,Finance,467,3909361,India,Proposal,13
572,Finance,904,4076826,Germany,Proposal,3
573,Healthcare,586,4963142,India,New,0
574,Healthcare,651,458124,USA,Contacted,4
575,Manufacturing,698,3453704,India,Qualified,2
576,Manufacturing,799,3752071,USA,New,0
577,Finance,934,3628429,UK,Contacted,10
578,Retail,172,2833365,Singapore,Qualified,6
579,Finance,986,4128375,India,New,8
580,Retail,341,3254001,USA,Proposal,8
581,Retail,673,935677,Germany,Contacted,3
582,Manufacturing,359,976538,Germany,New,7
583,SaaS,757,4261878,USA,Qualified,0
584,SaaS,679,3952648,Singapore,New,11
585,Healthcare,477,388574,UK,Contacted,13
586,Manufacturing,435,2881087,UK,New,3
587,Retail,336,682721,Singapore,Proposal,3
588,SaaS,115,4606223,India,Contacted,1
589,Retail,827,4262403,USA,New,7
590,SaaS,264,264010,UK,Contacted,13
591,SaaS,367,1812705,Singapore,New,7
592,SaaS,976,1484515,UK,New,6
593,Manufacturing,453,724790,UK,Proposal,14
594,Finance,122,1704211,India,Qualified,3
595,Retail,39,3509938,UK,Contacted,13
596,Manufacturing,533,2019466,USA,Proposal,4
597,Manufacturing,698,4874704,Singapore,Contacted,14
598,Manufacturing,859,4140710,India,New,4
599,Manufacturing,55,1259538,India,Qualified,0
600,Manufacturing,180,2387256,Singapore,Contacted,10
601,Healthcare,139,1954713,USA,Contacted,14
602,Retail,766,1387282,UK,New,12
603,Manufacturing,362,1041608,UK,Contacted,5
604,Retail,212,3060040,USA,Contacted,6
605,Healthcare,235,4336429,Germany,Contacted,10
606,Healthcare,89,3619925,Singapore,New,3
607,Retail,319,1119649,USA,New,2
608,SaaS,44,530542,UK,New,11
609,Finance,573,4293327,Singapore,Qualified,7
610,SaaS,170,2295378,Singapore,New,1
611,SaaS,990,669824,UK,Contacted,13
612,SaaS,605,1333718,USA,New,0
613,Manufacturing,849,3664043,Germany,Proposal,6
614,Healthcare,444,1251219,Singapore,New,2
615,SaaS,547,3671950,Singapore,New,2
616,Healthcare,234,4672356,Singapore,Contacted,5
617,Retail,455,2746250,USA,New,14
618,Finance,326,2322792,Singapore,Qualified,2
619,Retail,675,4654342,UK,New,8
620,Retail,814,4785089,UK,Qualified,1
621,Manufacturing,423,1934285,India,Contacted,0
622,Finance,104,2171963,Singapore,Contacted,6
623,Retail,234,3980546,Germany,New,12
624,Retail,788,1305159,India,New,14
625,Finance,958,2891736,Singapore,New,6
626,Finance,562,125394,Singapore,New,8
627,Retail,654,2993603,USA,Qualified,4
