lead_id,website_visits,pages_viewed,email_clicks,calls_made,meetings_scheduled,demo_requested,time_spent_minutes,days_since_last_activity
235,34,7,7,6,0,0,236,24
236,22,13,11,4,2,0,292,24
237,6,15,17,3,4,0,229,29
238,12,21,9,9,3,0,62,56
239,42,18,6,6,3,0,253,51
240,46,24,0,6,2,0,186,15
241,28,24,8,1,1,1,39,58
242,26,7,10,0,2,1,54,47
243,9,10,8,5,1,0,32,49
244,49,4,16,2,1,1,228,51
245,27,7,4,4,0,0,178,39
246,39,22,16,0,0,0,259,14
247,28,23,9,8,3,0,135,53
248,32,5,7,2,2,1,282,47
249,34,3,1,4,3,0,79,7
250,32,24,19,5,2,0,264,39
251,10,23,6,0,3,0,37,28
252,35,8,1,8,4,0,109,53
253,18,19,10,2,4,0,204,13
254,37,20,9,3,0,0,245,36
255,24,17,15,2,4,0,269,25
256,24,16,10,5,3,0,68,50
257,30,6,16,0,2,0,166,22
258,27,13,19,8,1,0,249,1
259,30,7,10,1,3,0,63,39
260,4,24,4,1,1,0,227,23
261,27,18,7,3,1,0,250,2
262,45,22,2,0,2,1,278,44
263,3,8,16,2,1,0,247,32
264,6,11,15,9,3,0,28,41
265,7,9,7,5,4,0,181,10
266,21,4,18,0,1,1,98,45
267,7,24,6,4,4,1,77,52
268,2,12,0,4,4,1,139,18
269,9,7,5,3,0,1,290,19
270,3,9,16,1,2,1,119,5
271,48,9,13,3,3,0,95,41
272,15,17,19,1,2,0,275,12
273,49,12,9,9,1,0,280,29
274,35,7,15,2,3,1,31,39
275,21,16,16,0,3,0,45,49
276,17,23,14,2,2,0,266,40
277,6,16,17,0,4,1,36,38
278,15,4,15,7,1,1,155,21
279,12,18,0,0,2,1,188,3
280,33,2,6,0,1,1,240,19
281,10,21,0,9,3,0,101,17
282,6,1,16,6,2,0,208,3
283,42,22,1,1,2,0,87,3
284,33,13,16,3,0,0,183,37
285,13,14,3,0,0,0,289,56
286,2,24,13,5,1,0,7,2
287,18,14,2,2,2,0,59,39
288,17,15,10,2,2,0,279,36
289,34,14,0,8,4,0,72,14
290,8,19,3,6,0,0,248,37
291,29,24,3,8,4,0,26,32
292,6,23,18,8,0,0,16,17
293,15,23,10,8,3,0,227,37
294,31,22,5,6,2,0,288,30
295,45,5,13,3,3,1,32,28
296,30,19,3,4,1,1,89,42
297,20,24,9,5,0,1,211,28
298,26,10,0,9,1,0,60,47
299,20,6,15,9,3,0,234,49
300,24,3,14,7,1,0,152,52
301,40,19,1,1,3,1,44,45
302,48,22,12,6,4,0,184,59
303,16,7,15,4,2,0,92,7
304,4,13,8,4,4,0,68,22
305,34,5,1,6,3,1,57,56
306,3,20,9,0,3,0,208,47
307,3,17,9,0,1,0,99,26
308,38,23,6,8,1,0,205,23
309,49,20,0,3,0,0,23,49
310,1,22,3,9,2,0,201,25
311,12,4,17,7,2,1,192,35
312,19,19,7,9,4,1,280,10
313,35,4,17,7,1,1,215,51
314,5,23,7,8,2,0,73,11
315,43,11,17,7,4,1,285,56
316,39,1,7,0,1,1,245,22
317,10,3,17,3,3,1,264,46
318,10,16,2,4,1,0,200,25
319,37,19,3,8,4,1,75,14
320,36,7,15,3,3,0,265,37
321,35,16,2,7,4,0,267,32
322,25,15,9,9,0,0,195,35
323,49,5,9,3,3,0,83,24
324,31,17,8,5,2,0,48,34
325,44,12,4,5,0,0,2,39
326,36,10,8,7,2,0,123,25
327,19,4,8,6,4,0,20,7
328,7,6,7,2,1,0,207,50
329,9,5,1,0,1,1,267,42
330,25,9,5,8,1,1,218,40
331,23,11,17,7,3,0,274,50
332,13,7,0,7,2,0,245,34
333,42,9,19,5,3,0,194,36
334,11,22,15,1,1,0,159,49
335,35,5,1,1,2,0,150,31
336,24,1,9,7,1,1,125,46
337,34,15,19,5,4,0,150,31
338,45,17,3,0,2,1,202,46
339,15,22,11,0,2,0,249,22
340,11,10,14,3,4,0,124,1
341,19,16,11,6,2,0,230,26
342,48,24,15,9,4,0,129,28
343,28,3,2,7,2,0,130,7
344,48,14,6,9,1,0,2,29
345,38,10,4,3,3,0,199,2
346,14,8,9,5,0,1,131,54
347,7,17,16,5,1,0,107,27
348,32,24,4,0,0,1,278,0
349,1,11,16,9,0,0,51,1
350,22,17,11,3,2,0,183,50
351,33,1,14,2,2,0,21,30
352,48,19,3,5,1,0,232,16
353,12,12,1,2,4,0,36,35
354,29,23,16,6,3,0,80,13
355,33,6,17,2,3,1,50,36
356,33,6,18,8,0,1,60,4
357,22,17,2,3,0,0,103,19
358,6,17,4,4,2,0,182,29
359,31,13,13,7,1,0,35,42
360,45,10,18,8,4,1,122,7
361,20,19,13,1,1,1,104,41
362,16,18,18,2,4,0,281,6
363,33,1,0,8,0,1,231,46
364,11,2,4,6,1,0,123,20
365,34,12,16,1,0,0,139,16
366,37,23,16,9,1,0,180,13
367,37,11,18,4,1,0,30,2
368,28,5,12,3,4,0,298,20
369,6,9,11,0,1,1,247,57
370,44,16,15,9,0,0,111,34
371,1,11,0,7,4,1,252,46
372,37,4,4,0,0,0,79,8
373,22,9,13,8,3,0,286,33
374,33,18,12,3,3,0,130,41
375,18,18,2,3,2,0,219,2
376,38,6,1,0,1,0,260,46
377,29,6,11,2,0,0,284,7
378,39,4,8,2,3,0,257,29
379,2,11,5,7,4,1,199,52
380,1,6,9,6,1,0,96,0
381,6,9,17,5,4,0,15,12
382,48,13,15,5,2,1,105,31
383,27,18,12,7,1,0,246,40
384,42,15,17,3,4,0,103,42
385,15,18,13,3,2,0,270,57
386,14,1,16,3,3,0,199,41
387,32,24,12,4,4,0,259,18
388,11,23,19,5,2,0,22,1
389,5,5,8,2,2,0,200,20
390,19,22,8,5,3,1,221,55
391,27,18,13,4,2,0,195,38
392,46,16,1,9,0,1,109,14
393,1,24,6,5,4,0,284,54
394,47,15,5,5,4,1,137,41
395,41,16,4,0,2,0,50,53
396,33,6,13,9,0,0,293,11
397,31,21,3,1,4,1,284,2
398,29,16,11,9,4,0,186,44
399,39,1,14,1,4,1,119,57
400,1,11,9,9,3,0,155,37
401,45,1,17,4,4,1,132,0
402,27,1,3,2,2,0,214,26
403,41,10,0,0,4,0,11,30
404,7,6,15,4,2,0,94,20
405,43,9,15,5,4,0,127,9
406,31,13,5,1,1,0,56,49
407,29,24,8,7,1,0,114,52
408,43,6,7,9,4,1,36,43
409,38,9,12,4,1,0,97,21
410,45,1,10,2,1,0,54,21
411,3,15,3,1,2,1,110,4
412,43,6,17,5,1,1,288,4
413,2,4,6,0,2,0,214,7
414,9,8,3,7,2,1,168,54
415,39,18,9,4,2,1,165,59
416,30,7,10,0,0,1,91,52
417,14,10,9,8,3,0,282,56
418,48,18,5,6,2,1,188,15
419,20,4,16,0,3,1,27,7
420,14,9,12,6,4,1,71,1
421,22,11,3,2,0,0,152,20
422,27,8,11,1,0,1,122,38
423,15,18,19,5,2,1,246,43
424,26,15,1,9,0,1,270,0
425,15,5,3,2,2,0,221,48
426,31,4,11,8,2,0,58,53
427,11,11,14,2,2,1,75,48
428,14,8,19,8,1,0,268,27
429,4,2,5,3,4,1,177,37
430,35,3,10,9,1,0,211,5
431,32,20,3,9,4,1,177,34
432,36,7,16,3,0,0,179,43
433,32,18,13,9,1,0,181,15
434,14,12,2,9,4,1,194,11
435,34,24,7,1,4,0,194,8
436,3,22,1,8,1,1,286,45
437,37,7,15,4,1,0,47,42
438,49,4,14,0,2,0,135,57
439,23,1,5,8,3,0,39,29
440,36,16,1,8,3,1,43,1
441,22,2,16,8,2,0,59,30
442,48,6,17,1,0,0,203,54
443,44,1,6,5,1,0,243,48
444,1,7,6,3,4,0,96,31
445,36,8,8,0,0,1,44,23
446,14,8,8,7,3,0,194,23
447,17,2,15,6,4,0,270,37
448,15,11,4,9,3,0,153,41
449,27,13,17,7,1,0,204,17
450,47,20,19,7,1,1,200,34
451,17,9,11,2,4,1,51,10
452,2,6,4,6,3,0,94,50
453,25,23,19,9,3,0,271,0
454,8,21,10,8,4,0,137,37
455,10,16,10,1,4,0,95,49
456,28,4,10,2,4,0,250,34
457,36,23,10,3,1,0,152,14
458,40,24,7,5,3,0,15,3
459,35,22,15,8,1,1,256,1
460,16,1,15,8,2,0,246,2
461,17,22,17,8,0,1,172,46
462,1,7,17,5,2,1,222,18
463,22,16,18,5,0,0,239,6
464,4,4,18,9,3,0,190,40
465,27,14,18,7,1,0,40,13
466,38,14,11,4,1,0,287,53
467,21,15,6,0,2,0,210,34
468,11,17,15,0,0,1,222,39
469,31,7,0,9,3,0,161,16
470,4,3,9,9,4,0,93,57
471,23,22,12,8,2,0,189,40
472,44,22,14,4,1,1,128,57
473,39,3,17,1,3,1,153,17
474,36,18,4,9,0,0,14,12
475,24,21,18,8,1,0,183,41
476,11,3,6,4,4,1,44,46
477,37,19,17,6,4,0,149,15
478,12,24,1,2,2,0,177,53
479,41,4,13,2,2,1,263,16
480,10,21,19,5,2,1,169,23
481,36,16,7,0,2,1,95,47
482,30,24,12,5,4,0,197,50
483,15,17,7,4,3,1,23,3
484,7,7,2,1,3,0,263,5
485,32,5,11,7,4,0,122,5
486,40,15,3,7,0,1,197,54
487,47,15,12,8,2,0,201,49
488,7,2,11,2,2,0,177,12
489,6,18,16,9,1,0,199,51
490,44,24,18,8,4,0,30,3
491,30,10,15,9,1,0,198,11
492,44,20,15,8,1,0,212,10
493,15,14,11,1,2,0,24,45
494,34,2,11,1,1,0,149,24
495,48,10,11,4,3,0,56,47
496,37,8,14,5,3,0,164,11
497,6,12,10,0,3,0,231,28
498,27,15,14,0,3,1,228,45
499,41,22,17,5,3,0,41,15
500,42,9,1,5,3,0,123,34
501,4,21,14,5,1,0,22,49
502,15,17,2,7,3,0,241,45
503,16,3,19,2,2,0,203,25
504,15,5,9,1,0,0,265,53
505,21,10,19,3,3,0,291,9
506,23,5,11,8,4,0,284,25
507,25,23,15,0,1,0,175,51
508,9,5,3,5,3,1,131,52
509,32,9,10,7,0,1,239,56
510,45,24,1,1,0,0,199,25
511,5,5,13,3,3,0,20,6
512,37,22,9,9,2,0,142,2
513,29,23,19,3,2,0,102,6
514,21,23,2,3,3,1,242,59
515,1,14,19,1,4,0,57,18
516,7,9,7,6,1,0,38,15
517,6,19,2,5,3,0,246,7
518,19,21,1,7,2,0,101,37
519,40,23,13,8,2,0,247,59
520,14,6,0,2,4,0,112,48
521,6,4,16,3,2,0,185,13
522,9,4,12,5,1,1,198,54
523,32,15,15,2,4,0,155,23
524,8,5,5,2,0,1,42,12
525,41,13,15,8,4,1,256,48
526,22,13,0,2,2,1,161,13
527,8,19,17,7,0,1,253,49
528,44,5,15,2,2,0,44,2
529,34,14,12,1,3,0,298,20
530,49,15,0,2,2,0,88,55
531,9,18,14,5,4,0,130,55
532,10,8,1,2,1,0,194,50
533,22,17,0,2,2,1,240,34
534,13,18,15,2,4,0,181,54
535,42,8,17,7,3,0,68,41
536,35,14,19,8,3,1,27,27
537,8,5,10,4,1,0,179,13
538,13,18,12,2,1,0,123,58
539,35,7,11,5,1,0,255,34
540,29,18,14,0,2,0,252,8
541,10,19,15,9,3,0,141,52
542,30,19,0,3,4,0,164,51
543,6,16,18,9,1,1,284,3
544,29,15,14,1,0,1,52,48
545,38,24,7,6,4,0,48,40
546,5,11,5,4,0,0,48,5
547,7,2,16,0,3,0,282,18
548,11,7,18,0,1,0,94,48
549,20,21,4,6,0,0,124,30
550,27,1,10,5,4,1,31,25
551,15,5,17,3,3,1,48,37
552,29,15,14,5,3,1,118,59
553,12,19,1,9,3,0,5,31
554,38,7,15,1,4,0,19,19
555,33,17,7,2,3,0,182,19
556,35,7,16,4,3,1,217,30
557,44,24,11,4,0,1,109,40
558,48,19,17,2,3,0,197,31
559,33,15,14,3,1,1,253,21
560,15,24,12,5,0,0,291,17
561,36,15,7,6,1,0,139,15
562,45,17,16,7,3,0,24,1
563,31,24,14,1,0,0,56,44
564,44,14,17,8,1,0,36,25
565,42,3,19,8,4,1,237,26
566,25,22,4,1,4,0,164,37
567,2,20,9,6,0,0,232,34
568,18,4,6,0,1,0,200,32
569,41,22,3,5,0,1,131,19
570,44,5,12,2,0,1,221,3
571,26,8,1,5,3,1,193,58
572,14,7,2,2,0,0,282,4
573,7,15,7,6,3,0,217,8
574,44,12,5,4,3,0,42,59
575,26,14,5,0,2,1,295,47
576,40,12,8,0,0,0,150,17
577,15,15,15,6,4,0,33,9
578,11,15,11,8,2,1,33,51
579,30,8,15,2,4,0,102,45
580,2,19,9,2,2,0,287,28
581,39,12,3,5,3,0,148,40
582,26,11,18,2,4,0,169,47
583,47,21,11,2,1,1,143,40
584,13,21,17,2,2,0,196,59
585,32,18,14,6,3,0,167,6
586,45,5,7,2,3,0,289,1
587,39,22,3,5,0,0,162,32
588,21,7,9,1,3,0,63,31
589,42,21,19,9,1,0,114,1
590,14,21,3,8,0,0,61,57
591,15,18,13,7,4,0,281,5
592,22,8,3,8,3,0,295,10
593,42,13,12,6,2,0,39,15
594,9,15,8,2,4,0,116,13
595,8,23,5,2,0,0,44,23
596,10,24,10,0,2,0,283,18
597,16,24,0,4,4,0,51,45
598,9,5,15,6,0,1,238,50
599,30,15,1,0,3,0,233,35
600,1,2,19,3,0,0,163,49
601,11,5,2,1,2,0,240,10
602,34,3,7,3,2,0,222,42
603,8,21,18,8,0,1,260,49
604,6,23,10,5,2,0,26,41
605,33,4,12,6,2,1,281,55
606,11,6,15,7,1,1,213,18
607,10,15,13,1,2,0,104,42
608,49,4,1,0,3,0,77,5
609,27,22,4,4,0,1,45,36
610,17,4,14,0,3,0,53,40
611,25,2,13,0,1,1,87,56
612,6,15,12,4,0,0,227,42
613,18,16,3,9,0,1,118,42
614,43,14,2,6,4,0,247,26
615,42,8,15,2,1,1,77,51
616,3,20,9,5,3,1,42,43
617,17,22,9,8,2,1,212,3
618,47,22,7,4,3,1,267,13
619,42,19,8,7,0,0,13,1
620,15,21,18,5,3,0,37,50
621,16,20,4,2,4,0,257,54
622,38,13,6,5,4,0,231,54
623,44,23,2,8,0,0,258,43
624,40,5,12,3,2,0,295,27
625,46,22,2,0,2,0,79,19
626,36,18,0,8,1,0,251,12
627,20,16,17,7,2,0,55,23
628,2,14,15,4,0,0,206,31
629,3,5,10,7,0,1,285,12
630,30,24,14,8,4,1,277,30
631,44,15,7,2,3,1,261,25
632,9,19,0,0,4,0,100,10
633,20,4,16,9,4,0,175,38
634,12,20,18,5,1,0,223,48
635,13,7,15,1,3,0,111,21
636,3,23,18,7,3,0,2,22
637,27,24,16,0,0,1,156,57
638,18,17,11,4,3,0,189,25
639,46,12,9,3,3,0,208,13
640,49,19,16,8,2,0,293,22
641,34,15,9,5,3,1,285,45
642,11,9,12,1,2,0,195,28
643,12,4,18,1,4,1,15,52
644,20,22,0,4,3,1,194,57
645,7,5,11,1,3,0,117,40
646,46,3,3,8,0,0,167,24
647,16,2,15,3,1,0,228,1
648,19,15,13,7,0,0,87,41
649,14,21,4,2,1,1,100,22
650,28,12,11,4,0,0,177,12
651,36,15,17,7,4,0,273,9
652,41,17,19,2,4,1,56,53
653,7,13,3,7,3,1,84,25
654,41,10,7,7,2,0,50,39
655,9,2,8,5,0,1,250,20
656,34,21,19,9,4,1,244,7
657,24,9,14,5,1,0,130,37
658,17,13,4,1,1,0,132,14
659,31,18,7,4,1,0,120,30
660,15,7,5,6,3,0,188,59
661,28,24,14,4,4,0,188,10
662,44,22,2,1,2,1,239,0
663,15,15,13,8,2,0,213,19
664,17,23,5,8,4,1,279,30
665,24,16,2,1,4,0,133,38
666,13,5,11,2,3,0,282,36
667,42,12,9,9,0,0,167,36
668,21,5,17,0,1,0,73,47
669,25,23,7,6,3,1,165,37
670,19,18,5,4,4,1,80,29
671,48,12,4,7,4,0,290,1
672,3,10,5,0,3,1,122,34
673,46,19,16,8,2,0,81,30
674,24,12,3,2,0,1,78,1
675,21,8,4,0,3,0,253,53
676,1,1,8,5,4,1,30,44
677,31,14,17,8,3,0,184,22
678,7,10,7,0,4,0,226,29
679,32,2,1,6,0,0,40,29
680,43,21,12,2,2,0,210,25
681,36,17,12,3,4,0,76,19
682,3,18,2,3,1,0,16,21
683,1,10,13,0,4,1,266,42
684,12,22,12,6,1,1,16,37
685,10,3,15,5,0,0,86,54
686,7,9,0,1,4,0,132,51
687,25,19,18,2,4,0,208,27
688,27,20,16,1,3,0,21,49
689,27,9,14,6,2,0,54,28
690,6,11,11,3,2,1,257,17
691,20,11,2,6,1,1,242,58
692,49,7,16,4,4,1,231,33
693,22,12,11,4,1,0,172,21
694,26,21,17,9,1,0,42,7
695,45,24,13,0,2,1,262,8
696,41,6,10,1,1,0,292,44
697,32,22,4,0,3,0,97,28
698,23,4,18,3,4,1,153,34
699,1,5,19,0,0,0,194,16
700,36,6,18,1,3,1,209,22
701,21,20,15,6,1,0,26,1
702,14,1,3,4,1,1,44,49
703,19,6,4,2,3,0,229,0
704,25,19,19,8,1,1,176,11
705,9,16,13,9,4,0,25,48
706,41,3,7,1,0,0,98,5
707,29,16,3,0,1,0,103,46
708,46,23,16,4,4,0,54,30
709,47,24,2,3,2,0,180,34
710,2,16,7,4,0,0,43,6
711,47,13,2,9,2,0,186,10
712,31,12,7,8,1,0,100,5
713,31,23,17,9,2,0,16,7
714,14,17,12,1,2,0,49,14
715,23,8,11,8,4,0,172,13
716,31,2,19,7,3,0,241,42
717,38,7,3,2,4,0,228,52
718,16,19,18,4,4,1,242,25
719,8,22,0,8,2,0,222,46
720,12,4,6,4,1,0,56,25
721,1,13,9,0,3,1,246,31
722,40,6,11,7,2,0,66,55
723,14,22,14,8,0,0,234,56
724,28,13,6,1,1,0,14,43
725,1,19,17,9,3,0,198,30
726,22,1,15,6,2,1,80,7
727,45,10,17,9,0,0,135,22
728,28,19,5,2,2,0,160,21
729,13,20,13,1,1,0,168,5
730,8,5,16,9,1,1,205,46
731,7,3,19,1,1,0,269,46
732,3,16,9,1,4,1,26,31
733,27,18,2,9,1,0,84,35
734,19,23,4,0,3,1,257,41
735,46,8,14,9,2,0,184,15
736,21,8,7,6,1,1,264,49
737,44,21,17,1,2,1,254,26
738,1,10,14,8,4,0,223,36
739,30,13,12,7,4,0,260,41
740,20,12,8,6,3,0,60,9
741,13,12,1,4,1,1,78,9
742,4,5,0,5,3,1,244,9
743,28,8,11,5,2,0,191,50
744,26,24,17,7,2,0,179,47
745,41,12,6,2,4,1,103,44
746,3,23,8,3,4,0,284,27
747,38,15,10,0,4,0,203,43
748,39,19,6,7,2,1,217,6
749,7,4,7,8,3,1,143,8
750,5,24,4,9,3,0,205,50
751,18,18,15,8,2,0,101,17
752,2,19,0,6,1,0,14,23
753,13,15,15,2,3,1,67,46
754,13,22,15,1,3,0,225,11
755,47,2,4,7,1,0,150,51
756,33,3,16,1,4,1,22,56
757,46,11,9,8,2,0,212,27
758,33,13,10,0,2,0,2,10
759,47,11,8,7,4,1,127,21
760,16,15,10,7,0,0,90,46
761,8,9,17,4,3,0,111,24
762,44,3,17,8,3,0,211,17
763,41,7,0,0,3,0,200,49
764,48,15,3,1,3,0,188,8
765,48,22,5,3,2,0,56,55
766,12,18,13,5,0,0,180,26
767,38,2,1,0,1,0,78,32
768,44,2,8,4,2,0,102,24
769,35,10,3,4,2,0,291,34
770,32,16,5,2,2,0,70,42
771,2,2,12,5,4,0,252,12
